p_url,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,label
http://serv-acamai.com/1und1/de/index.php,1,41,3,1,1,1,-1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,188,22,-1,-1,-1,1,1,-1,1,-1
http://www.mariagraziagiove.com/ibdg/phpmailer/phpmailer/language/BLmsDqH6533S83cNf6c/,1,86,5,1,1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,1,188,22,1,1,-1,1,1,-1,1,-1
http://news.svnhforum.com/wp-content/plugins/legend/brain/login/,1,64,5,1,1,1,1,1,1,1,-1,-1,-1,0,1,1,-1,-1,1,43,11,1,1,0,1,1,0,1,-1
http://mariagraziagiove.com/ibdg/phpmailer/phpmailer/language/BLmsDqH6533S83cNf6c,1,81,5,1,1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,1,188,22,1,1,-1,1,1,-1,1,-1
http://czystek.net.pl/hilfe/blue,1,32,2,1,1,1,1,1,1,1,-1,1,1,0,-1,1,-1,-1,1,15,5,-1,-1,-1,1,1,1,1,-1
https://www.iwa-icr363.com/trading/web/email/,1,45,3,1,1,1,-1,1,1,-1,1,-1,1,0,-1,1,-1,-1,1,116,14,-1,-1,-1,1,1,-1,1,-1
https://www.iwa-icr363.com/trading/web/email/index2.html,1,56,4,1,1,1,-1,1,1,-1,1,-1,1,0,-1,1,-1,-1,1,141,14,-1,-1,-1,1,1,-1,1,-1
http://news.svnhforum.com/wp-content/plugins/legend/brain/login,1,63,5,1,1,1,1,1,1,1,-1,-1,-1,0,-1,1,-1,-1,1,43,11,1,1,0,-1,1,0,1,-1
http://www.aislacontrol.com/modules/1nd/a,1,41,3,1,1,1,1,1,1,1,-1,-1,0,0,-1,1,-1,-1,1,39,6,1,1,-1,1,1,0,1,-1
https://www.topzouzanawxcompany.org/ders/1and1.de/1and1/,1,56,3,1,1,1,1,1,1,1,1,1,1,0,-1,1,-1,-1,1,10,5,-1,1,-1,1,1,1,1,-1
https://www.studiogiardasrls.it/BRd09K41503T7073a/Undone/81481,1,62,3,1,1,1,1,1,1,1,-1,-1,0,0,-1,1,-1,-1,1,48,11,1,1,-1,1,1,0,1,-1
http://covid19voip.com/1und1/cmd-login=68db6b963702a368c839f9c95c05b69c/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,397,3,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,-1,-1,-1,1,1,0,1,-1
http://u726573vi0.ha004.t.justns.ru/login.php,1,45,1,1,1,1,1,-1,1,-1,1,-1,1,0,-1,1,-1,-1,1,167,14,1,1,0,1,1,-1,1,-1
http://ccbb-insaiguaviva.org/defaultsite,1,40,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,68,8,1,1,-1,1,1,0,1,-1
http://wpcccricket.co.za/wp-includes/images/smilies/index.htm,1,61,4,-1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,195,12,-1,1,-1,1,1,-1,1,-1
http://straitport.com/defaultsite,1,33,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,68,8,1,1,-1,1,1,0,1,-1
http://formacionz.com/defaultsite,1,33,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,68,8,-1,-1,-1,1,1,0,1,-1
http://ismybeauty.com/defaultsite,1,33,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,68,8,1,1,-1,1,1,0,1,-1
http://totemarts.org/defaultsite,1,32,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,68,8,-1,1,-1,1,1,0,1,-1
http://www.artesacracremona.it/ionos/login.php?session739d5b55f8dc49,1,68,2,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,186,14,1,1,-1,1,1,-1,1,-1
http://www.riblanda.com/support.ionos.com/client.accees.account.update/ionos2/index.html,1,88,4,1,1,1,1,-1,1,-1,1,-1,0,0,1,1,-1,-1,1,131,14,1,1,-1,1,1,-1,1,-1
https://ht.raulisa.com/yanky/1&1/?email=j.galun@adaptec-solution.de,1,67,2,1,-1,1,1,0,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,-1,1,-1,1,1,0,1,-1
https://ht.raulisa.com/yanky/1&1/cmd-login=ca34bf1005b905c9f32588e9cf821582/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,401,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,-1,1,-1,1,1,0,1,-1
http://jandj-powerwashing.com/5vbx/89q/cmd-login=7152cc9e332ccb53dfcafe2230b16749/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,407,4,1,1,1,-1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,-1,-1,-1,1,1,0,1,-1
http://jandj-powerwashing.com/5vbx/89q/cmd-login=7152cc9e332ccb53dfcafe2230b16749/index.php?email=%7B%7Bemail%7D%7D,1,115,4,1,1,1,-1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,-1,-1,-1,1,1,0,1,-1
http://jandj-powerwashing.com/5vbx/89q/cmd-login=7152cc9e332ccb53dfcafe2230b16749/validate.php?src=dluzdluzhnmndblb2rzadluzhnmnddblb2rzatrpzwprmzbka2przwtjamtkignuzmk0bmzpbtrpzwprmzbka2przwtjamtkignuzmk0bmzpbhnmndblb2rzatrdluzhnmndblb2rzatrpzwprmzbka2przwtjamtkignuzmk0bmzpbpzwprmzbka2przwtjamtkignuzmk0bmzpbzwppzxdpb2u5ndluzhnmndblb2rzatrpzwprmzbka2przwtjamtkignuzmk0bmzpb25ja29uc2nrigtjigtqihzqaybj&email=,1,407,4,1,1,1,-1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,-1,-1,-1,1,1,0,1,-1
http://cpcontacts.serviceupgrade.ga/ionos/authenticate,1,54,2,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,-1,1,-1,1,1,-1,1,-1
http://cpcalendars.serviceupgrade.gq/ionos/authenticate/,1,56,2,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,-1,1,-1,1,1,-1,1,-1
https://302797r002374992739446-secondary.z13.web.core.windows.net/,1,66,0,1,1,1,-1,-1,1,-1,1,-1,1,0,-1,1,-1,-1,1,183,14,-1,1,1,1,1,1,1,-1
http://cpcontacts.serviceupgrade.cf/ionos/authenticate/,1,55,2,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,-1,1,-1,1,1,-1,1,-1
http://jandj-powerwashing.com/5vbx/89q/cmd-login=7152cc9e332ccb53dfcafe2230b16749/index.php?email={{email}},1,107,4,1,1,1,-1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,-1,-1,-1,1,1,0,1,-1
http://centerfax.tk/inons/ionos,1,31,2,1,1,1,1,1,1,-1,1,-1,1,0,-1,1,-1,-1,1,154,14,-1,1,-1,1,1,-1,1,-1
https://emunahindianspices.com/cp/ad3d97e42de5e90c96c65be40700347b/index.html?fIwtXqdA82165232227=QDq7zuCYQ5H,1,109,3,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,1,1,-1,1,1,-1,1,-1
https://www.studiogiardasrls.it/BRd09K41503T7073a/Undone/81481/,1,63,3,1,1,1,1,1,1,1,-1,-1,0,0,-1,1,-1,-1,1,48,11,1,1,-1,1,1,0,1,-1
https://emunahindianspices.com/cp/352fe25daf686bdb4edca223c921acea/index.html?fIwtXqdA82165232227=nCYSNOlsifM,1,109,3,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,1,1,-1,1,1,-1,1,-1
https://paradorde.com/3cva/HNB/cmd-login=b0028c287609714d60df89942ca88094/index.php?email={{email}},1,99,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,-1,1,-1,1,1,0,1,-1
http://oandmtruckandtrailerrepairs.com/78hjb/vp/source,1,54,3,1,1,1,1,1,1,-1,1,-1,0,0,0,1,-1,-1,1,179,13,-1,1,-1,1,1,0,1,-1
http://oandmtruckandtrailerrepairs.com/78hjb/vp/source/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,380,4,1,1,1,1,1,1,-1,1,-1,0,0,0,1,-1,-1,1,182,13,-1,1,-1,1,1,0,1,-1
http://www.artesacracremona.it/ionos/login_error.php?session83c92d1ffd9419,1,74,2,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,189,14,1,1,-1,1,1,-1,1,-1
http://cashbalanceplanspro.com/rt8m0/B5T/cmd-login=f38a8ffd852bc79abb18e8c557bb12b9/index.php?email=abuse@ionos.com&loginpage=mail.ionos.com/&reff=ZTMzOTIxYzMzNmE3NDFiMmI1YTUyZDJkZjBiYWY5Zjg,1,190,4,1,-1,1,1,-1,1,-1,1,-1,0,0,1,1,-1,-1,1,179,13,-1,1,-1,1,1,0,1,-1
http://cashbalanceplanspro.com/rt8m0/B5T/cmd-login=f38a8ffd852bc79abb18e8c557bb12b9/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,409,4,1,1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,1,182,13,-1,1,-1,1,1,0,1,-1
http://redimsa.net/defaultsite,1,30,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,68,8,1,1,-1,1,1,0,1,-1
http://nodreamco.com/defaultsite,1,32,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,68,8,1,1,-1,1,1,0,1,-1
http://emunahindianspices.com/cp/352fe25daf686bdb4edca223c921acea/index.html?fIwtXqdA82165232227=nCYSNOlsifM,1,108,3,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,1,1,-1,1,1,-1,1,-1
http://www.teffetellerconstructionandlandscaping.com/yhb/NO/,1,60,2,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,-1,-1,-1,1,1,0,1,-1
http://www.teffetellerconstructionandlandscaping.com/yhb/NO/cmd-login=0e565c650735b8545b46a36fbd44699b/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,428,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,-1,-1,-1,1,1,0,1,-1
https://paradorde.com/3cva/HNB/cmd-login=b0028c287609714d60df89942ca88094/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,399,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,-1,1,-1,1,1,0,1,-1
https://powertechnologysrl.com/de/cgi/login?m=aW5mb0BidWVjaGVyc3R1YmUtaGFyc%202VmZWxkLmRl,1,89,3,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,153,15,1,1,-1,1,1,1,1,-1
https://vidogar.com.ar/sm7/77sm/?email=abuse@ionos.com,1,54,2,1,-1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,1,179,13,-1,1,-1,1,1,0,1,-1
https://vidogar.com.ar/sm7/77sm/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,357,3,1,1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,1,182,13,-1,1,-1,1,1,0,1,-1
http://app.user15424.session.ionoss.verfiy.status.fkolb.de/Ac1198373/?ac=OM.US.USd17K417455T7073a&linkId=hd.nav.luoId=PUAC:default.WH.US-20200820035751-E6608396E19Blxa9b&shoplogin=enabled,1,187,1,1,1,1,1,-1,1,-1,1,-1,1,0,-1,1,-1,-1,1,153,14,-1,1,-1,1,1,-1,1,-1
https://emunahindianspices.com/cp/b7a8486459730bea9569414ef76cf03f/index.html?fIwtXqdA82165232227=DDH5NKfFsXb,1,109,3,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,1,1,-1,1,1,-1,1,-1
http://safrem.com/defaultsite,1,29,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,68,8,1,1,-1,1,1,0,1,-1
https://sindhgames.com/r6gd75rf/07/?email=abuse@ionos.com,1,57,2,1,-1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,1,179,13,1,1,-1,1,1,0,1,-1
https://sindhgames.com/r6gd75rf/07/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,360,3,1,1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,1,182,13,1,1,-1,1,1,0,1,-1
http://www.artesacracremona.it/ionos/login_error.php?session55be87f9ea2228,1,74,2,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,189,14,1,1,-1,1,1,-1,1,-1
https://emunahindianspices.com/cp/098b8b9f44bbbc0db5aff108ef93a0e2/index.html?fIwtXqdA82165232227=vXaZqzSKMck,1,109,3,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,1,1,-1,1,1,-1,1,-1
https://webstring.in/5B9/xgc/cmd-login=370a3f98731e55a3450e88c4a7592a9c/index.php?email=abuse@ionos.com&loginpage=mail.ionos.com/&reff=NzkwNGQwZjc0MGE3ZjMwMGRjNzMwYjAwMjk2MDY0YzU=,1,179,4,1,-1,1,1,-1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,1,1,-1,1,1,0,1,-1
https://webstring.in/5B9/xgc/cmd-login=370a3f98731e55a3450e88c4a7592a9c/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,397,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,1,1,-1,1,1,0,1,-1
https://webstring.in/5B9/xgc?email=abuse@ionos.com,1,50,2,1,-1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,1,1,-1,1,1,0,1,-1
https://webstring.in/5B9/xgc/cmd-login=cdf0bfe5391993b89c177e66485ceb39/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,397,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,1,1,-1,1,1,0,1,-1
https://emunahindianspices.com/cp/1f8284893d24ab184b8a289174713030/index.html?fIwtXqdA82165232227=RsRqCcySN0K,1,109,3,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,154,14,1,1,-1,1,1,-1,1,-1
https://naturopathe-gard-vaucluse.com/nb/www/login.php,1,54,3,1,1,1,-1,1,1,-1,1,-1,1,0,-1,1,-1,-1,1,131,16,-1,-1,-1,1,1,-1,1,-1
https://naturopathe-gard-vaucluse.com/nb/www/error.php?cmd=login_submit&id=&session=,1,84,3,1,1,1,-1,1,1,-1,1,-1,1,0,-1,1,-1,-1,1,142,16,-1,-1,-1,1,1,-1,1,-1
https://webstring.in/5B9/xgc/cmd-login=98c84ca2a22bef681997849fd13d8927/index.php?email=abuse@ionos.com&loginpage=mail.ionos.com/&reff=Yjg2NTRkZWY0YzNkNzAzN2RmYzgwNGE3ZTM1MzAxZGU,1,178,4,1,-1,1,1,-1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,1,1,-1,1,1,0,1,-1
